1st_flr_sf,2nd_flr_sf,3ssn_porch,age_at_sale,age_of_remod,alley,bedroom_abvgr,bldg_type,bsmt_cond,bsmt_exposure,bsmt_full_bath,bsmt_half_bath,bsmt_qual,bsmt_unf_sf,bsmtfin_sf_1,bsmtfin_sf_2,bsmtfin_type_1,bsmtfin_type_2,central_air,condition_1,condition_2,electrical,enclosed_porch,exter_cond,exter_qual,exterior_1st,exterior_2nd,fence,fireplace_qu,fireplaces,foundation,full_bath,functional,garage_area,garage_cars,garage_cond,garage_finish,garage_qual,garage_type,garage_yr_blt,gr_liv_area,half_bath,has_central_air,heating,heating_qc,house_style,id,kitchen_abvgr,kitchen_qual,land_contour,land_slope,lot_area,lot_config,lot_frontage,lot_shape,low_qual_fin_sf,mas_vnr_area,mas_vnr_type,misc_feature,misc_val,mo_sold,ms_subclass,ms_zoning,neighborhood,open_porch_sf,overall_cond,overall_qual,paved_drive,pid,pool_area,pool_qc,roof_matl,roof_style,sale_time_to_recession,sale_type,saleprice,screen_porch,street,street_is_pave,total_bsmt_sf,totrms_abvgrd,utilities,wood_deck_sf,year_built,year_remod/add,yr_sold
106,673,709,0,,,,3,Twnhs,TA,No,1.0,0.0,Gd,32.0,641.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0,TA,Gd,MetalSd,MetalSd,,,0,PConc,2,Typ,490.0,2.0,TA,Unf,TA,Detchd,2000.0,1382,1,,GasA,Ex,2Story,2513,1,Gd,Lvl,Gtl,2651,FR2,,Reg,0,0.0,None,,0,4,160,FV,Somerst,50,5,7,Y,533223080,0,,CompShg,Gable,,WD ,165000,0,Pave,,673.0,6,AllPub,153,2000,2000,2006
226,1224,0,0,,,,2,TwnhsE,TA,No,1.0,0.0,Ex,341.0,883.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0,TA,TA,VinylSd,VinylSd,,,0,PConc,2,Typ,402.0,2.0,TA,Fin,TA,Attchd,1999.0,1224,0,,GasA,Ex,1Story,973,1,TA,Lvl,Gtl,4500,FR2,,Reg,0,425.0,BrkFace,,0,6,120,RM,Mitchel,304,5,6,Y,923203190,0,,CompShg,Hip,,WD ,165000,0,Pave,,1224.0,5,AllPub,0,1999,1999,2009
335,1022,1038,168,,,,3,1Fam,TA,No,1.0,0.0,Gd,220.0,772.0,0.0,ALQ,Unf,Y,RRNn,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,GdPrv,TA,1,PConc,2,Typ,390.0,2.0,TA,RFn,TA,BuiltIn,1999.0,2060,1,,GasA,Ex,2Story,493,1,Gd,Lvl,Gtl,8755,FR2,,IR1,0,298.0,BrkFace,,0,6,60,RL,Gilbert,0,5,7,Y,528292070,0,,CompShg,Gable,,WD ,214000,0,Pave,,992.0,8,AllPub,0,1999,1999,2009
430,551,551,0,,,,2,TwnhsE,TA,No,0.0,0.0,Gd,312.0,239.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0,TA,Gd,MetalSd,MetalSd,,,0,PConc,2,Typ,480.0,2.0,TA,Unf,TA,Detchd,2004.0,1102,1,,GasA,Ex,2Story,1848,1,Gd,Lvl,Gtl,5105,FR2,,IR2,0,0.0,None,,0,3,160,FV,Somerst,60,5,7,Y,533223050,0,,CompShg,Gable,,WD ,148800,0,Pave,,551.0,4,AllPub,0,2004,2004,2007
454,530,550,0,,,,2,TwnhsE,TA,No,0.0,0.0,Gd,286.0,244.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,,0,PConc,2,Typ,496.0,2.0,TA,RFn,TA,Attchd,2003.0,1080,1,,GasA,Ex,2Story,104,1,Gd,Lvl,Gtl,2403,FR2,,IR1,0,0.0,None,,0,6,160,FV,Somerst,50,5,7,Y,533223100,0,,CompShg,Gable,,WD ,147110,0,Pave,,530.0,4,AllPub,0,2003,2003,2010
781,914,0,0,,,,2,1Fam,TA,No,0.0,0.0,TA,600.0,314.0,0.0,ALQ,Unf,Y,Norm,Norm,SBrkr,0,Gd,TA,MetalSd,MetalSd,GdWo,,0,BrkTil,1,Typ,270.0,1.0,TA,Unf,Fa,Basment,1961.0,914,0,,GasA,Ex,1Story,1671,1,TA,Lvl,Gtl,17199,FR2,,Reg,0,0.0,None,,0,7,20,RL,NAmes,0,7,4,Y,527425025,0,,CompShg,Gable,,WD ,128000,0,Pave,,914.0,4,AllPub,140,1961,1961,2007
926,864,0,0,,,,3,1Fam,TA,No,0.0,0.0,TA,264.0,600.0,0.0,BLQ,Unf,Y,Norm,Norm,SBrkr,0,TA,TA,MetalSd,MetalSd,MnWw,,0,CBlock,1,Typ,576.0,2.0,TA,Unf,TA,Detchd,1980.0,864,0,,GasA,TA,1Story,1038,1,TA,Lvl,Gtl,12735,FR2,,IR1,0,0.0,None,,0,4,20,RL,NAmes,0,5,4,Y,527425035,0,,CompShg,Hip,,COD,111250,0,Pave,,864.0,5,AllPub,216,1972,1972,2008
927,997,1288,0,,,,4,1Fam,TA,No,0.0,0.0,Gd,969.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,TA,1,PConc,2,Typ,648.0,3.0,TA,Fin,TA,BuiltIn,2000.0,2285,1,,GasA,Ex,2Story,1763,1,Gd,Lvl,Gtl,11000,FR2,,Reg,0,72.0,BrkFace,,0,6,60,RL,NoRidge,56,5,8,Y,528326060,0,,CompShg,Gable,,WD ,248000,0,Pave,,969.0,8,AllPub,0,2000,2000,2007
1583,1236,1104,0,,,,4,1Fam,TA,No,1.0,0.0,Gd,213.0,1023.0,0.0,GLQ,Unf,Y,Norm,Norm,SBrkr,218,TA,Gd,VinylSd,VinylSd,GdPrv,Gd,1,PConc,2,Typ,787.0,3.0,TA,RFn,TA,Attchd,1996.0,2340,1,,GasA,Ex,2Story,1033,1,Gd,Lvl,Gtl,14311,FR3,,IR1,0,402.0,BrkFace,,0,6,60,RL,NWAmes,180,5,8,Y,527380240,0,,CompShg,Gable,,WD ,306000,0,Pave,,1236.0,9,AllPub,192,1996,1996,2008
1866,1533,639,0,,,,4,1Fam,TA,Mn,0.0,0.0,Ex,1519.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,TA,1,PConc,2,Typ,687.0,3.0,TA,RFn,TA,BuiltIn,2000.0,2172,1,,GasA,Ex,2Story,1102,1,Ex,Lvl,Gtl,11000,FR2,,Reg,0,295.0,BrkFace,,0,6,60,RL,NoRidge,153,5,9,Y,528326110,0,,CompShg,Hip,,WD ,291000,0,Pave,,1519.0,8,AllPub,162,2000,2000,2008
1960,1065,984,0,,,,4,1Fam,TA,No,0.0,0.0,Gd,1065.0,0.0,0.0,Unf,Unf,Y,Feedr,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,TA,1,PConc,2,Typ,467.0,2.0,TA,Unf,TA,Attchd,1997.0,2049,1,,GasA,Ex,2Story,2798,1,Gd,Lvl,Gtl,21533,FR2,,IR2,0,0.0,None,,0,8,60,RL,CollgCr,48,5,7,Y,907275030,0,,CompShg,Gable,,WD ,210900,0,Pave,,1065.0,9,AllPub,120,1996,1997,2006
1998,1602,0,0,,,,3,1Fam,TA,No,0.0,1.0,Gd,356.0,1246.0,0.0,ALQ,Unf,Y,Norm,Norm,SBrkr,0,TA,Gd,CemntBd,CmentBd,,TA,1,CBlock,2,Typ,529.0,2.0,TA,Fin,TA,Attchd,1977.0,1602,0,,GasA,Gd,1Story,374,1,Gd,Lvl,Gtl,16635,FR2,,IR1,0,126.0,Stone,,0,6,20,RL,NWAmes,0,7,6,Y,527326150,0,,CompShg,Gable,,WD ,215000,0,Pave,,1602.0,8,AllPub,240,1977,2000,2009
1456,725,863,0,,,,3,1Fam,TA,,0.0,0.0,Gd,725.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,,0,CBlock,3,Typ,561.0,2.0,TA,Unf,TA,Attchd,2007.0,1588,0,,GasA,Ex,2Story,1797,1,Gd,Lvl,Gtl,10411,Corner,81.0,Reg,0,0.0,None,,0,7,60,FV,Somerst,0,5,5,Y,528458090,0,,CompShg,Gable,,New,212109,0,Pave,,725.0,8,AllPub,0,2007,2007,2007
1547,1595,0,0,,,,2,1Fam,TA,,0.0,0.0,Gd,1595.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,Gd,1,PConc,2,Typ,880.0,3.0,TA,RFn,TA,Attchd,2005.0,1595,0,,GasA,Ex,1Story,67,1,Gd,Lvl,Gtl,8987,Inside,73.0,Reg,0,226.0,BrkFace,,0,5,20,RL,Somerst,0,5,8,Y,528445060,0,,CompShg,Gable,,WD ,221500,0,Pave,,1595.0,6,AllPub,144,2005,2006,2010
1997,936,840,0,,,,3,1Fam,TA,,0.0,0.0,Gd,936.0,0.0,0.0,Unf,Unf,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,TA,1,PConc,2,Typ,474.0,2.0,TA,RFn,TA,Attchd,2002.0,1776,1,,GasA,Ex,2Story,2780,1,Gd,Lvl,Gtl,14006,Inside,65.0,IR1,0,144.0,BrkFace,,0,2,60,RL,CollgCr,96,5,7,Y,907194130,0,,CompShg,Gable,,WD ,192500,0,Pave,,936.0,7,AllPub,144,2002,2002,2006
1147,1629,0,0,,,,3,1Fam,TA,No,1.0,0.0,Gd,1603.0,1124.0,479.0,GLQ,,Y,Norm,Norm,SBrkr,0,TA,Gd,VinylSd,VinylSd,,Gd,1,PConc,2,Typ,880.0,3.0,TA,RFn,TA,Attchd,2003.0,1629,0,,GasA,Ex,1Story,445,1,Gd,Lvl,Gtl,10655,Inside,85.0,IR1,0,296.0,BrkFace,,0,10,20,RL,NridgHt,0,5,8,Y,528142130,0,,CompShg,Gable,,WD ,284000,0,Pave,,3206.0,7,AllPub,0,2003,2004,2009
1712,942,886,0,,,,3,1Fam,TA,No,0.0,0.0,Gd,311.0,548.0,0.0,ALQ,Unf,Y,Norm,Norm,SBrkr,212,TA,TA,Wd Sdng,Plywood,MnPrv,,0,BrkTil,2,Typ,,,,,,Detchd,,1828,0,,GasA,Ex,2Story,2237,1,Gd,Lvl,Gtl,9060,Inside,50.0,Reg,0,0.0,None,,0,3,70,RM,IDOTRR,0,6,5,Y,910201180,0,,CompShg,Gable,,WD ,150909,0,Pave,,859.0,6,AllPub,174,1923,1999,2007
1671,2364,0,0,1.0,0.0,NA,2,1Fam,TA,Gd,1.0,0.0,Ex,142.0,2188.0,0.0,GLQ,Unf,,Norm,Norm,SBrkr,0,TA,Ex,VinylSd,VinylSd,NA,Gd,2,PConc,2,Typ,820.0,3.0,TA,Fin,TA,Attchd,2009.0,2364,1,1.0,GasA,Ex,1Story,45,1,Ex,Lvl,Gtl,12919,Inside,100.0,IR1,0,760.0,Stone,NA,0,3,20,RL,NridgHt,67,5,9,Y,528150070,0,NA,CompShg,Hip,1671.0,New,611657,0,,1.0,2330.0,11,AllPub,0,2009,2010,2010
1964,2338,0,0,1.0,0.0,NA,4,1Fam,TA,Av,1.0,0.0,Ex,1559.0,1101.0,0.0,GLQ,Unf,,PosN,Norm,SBrkr,0,TA,Ex,VinylSd,VinylSd,NA,Gd,2,PConc,2,Typ,1110.0,3.0,TA,Fin,Gd,Attchd,2005.0,2338,1,1.0,GasA,Ex,1Story,1638,1,Gd,Lvl,Gtl,51974,CulDSac,52.0,IR1,0,710.0,BrkFace,NA,0,6,20,RL,StoneBr,135,5,9,Y,527216080,0,NA,CompShg,Hip,1964.0,New,591587,322,,1.0,2660.0,8,AllPub,0,2006,2007,2007
1692,1933,1567,0,13.0,12.0,NA,4,1Fam,TA,Gd,1.0,0.0,Ex,48.0,292.0,1393.0,Rec,GLQ,,Norm,Norm,SBrkr,0,Gd,Gd,MetalSd,MetalSd,NA,TA,1,PConc,3,Typ,959.0,3.0,TA,RFn,TA,Attchd,1993.0,3500,1,1.0,GasA,Ex,2Story,2451,1,Ex,Lvl,Gtl,17242,Inside,114.0,IR1,0,738.0,BrkFace,NA,0,5,60,RL,NoRidge,86,5,9,Y,528360050,0,NA,CompShg,Hip,1692.0,WD ,584500,210,,1.0,1733.0,11,AllPub,870,1993,1994,2006
1796,1734,1088,0,1.0,0.0,NA,4,1Fam,TA,Gd,0.0,0.0,Ex,1734.0,0.0,0.0,Unf,Unf,,Norm,Norm,SBrkr,0,TA,Ex,VinylSd,VinylSd,NA,Gd,1,PConc,3,Typ,1020.0,3.0,TA,RFn,TA,BuiltIn,2009.0,2822,1,1.0,GasA,Ex,2Story,434,1,Ex,Lvl,Gtl,13891,Inside,107.0,Reg,0,424.0,Stone,NA,0,1,60,RL,NridgHt,170,5,9,Y,528110090,0,NA,CompShg,Hip,1796.0,New,582933,192,,1.0,1734.0,12,AllPub,52,2008,2009,2009
151,1992,876,0,1.0,0.0,NA,4,1Fam,TA,Av,0.0,0.0,Ex,1752.0,240.0,0.0,GLQ,Unf,,Norm,Norm,SBrkr,0,TA,Gd,CemntBd,CmentBd,NA,Gd,1,PConc,3,Typ,716.0,3.0,TA,Fin,TA,BuiltIn,2005.0,2868,1,1.0,GasA,Ex,2Story,2333,1,Ex,Lvl,Gtl,16056,Inside,85.0,IR1,0,208.0,Stone,NA,0,7,60,RL,StoneBr,108,5,9,Y,527212030,0,NA,CompShg,Hip,151.0,New,556581,0,,1.0,1992.0,11,AllPub,214,2005,2006,2006
1164,2402,0,0,1.0,1.0,NA,2,1Fam,TA,Gd,1.0,0.0,Ex,788.0,1767.0,539.0,GLQ,ALQ,,Norm,Norm,SBrkr,0,TA,Ex,VinylSd,VinylSd,NA,Gd,2,PConc,2,Typ,672.0,3.0,TA,Fin,TA,Attchd,2008.0,2402,0,1.0,GasA,Ex,1Story,424,1,Ex,Lvl,Gtl,15431,Inside,105.0,Reg,0,200.0,Stone,NA,0,4,20,RL,NridgHt,72,5,10,Y,528106020,0,NA,CompShg,Hip,1164.0,WD ,555000,170,,1.0,3094.0,10,AllPub,0,2008,2008,2009
623,2492,0,0,5.0,4.0,NA,2,1Fam,TA,Gd,1.0,0.0,Ex,346.0,2146.0,0.0,GLQ,Unf,,Norm,Norm,SBrkr,0,TA,Ex,CemntBd,CmentBd,NA,Ex,1,PConc,2,Typ,949.0,3.0,TA,Fin,TA,Attchd,2004.0,2492,1,1.0,GasA,Ex,1Story,457,1,Ex,HLS,Mod,14836,Inside,100.0,IR1,0,730.0,Stone,NA,0,2,20,RL,NridgHt,235,5,10,Y,528176030,0,NA,CompShg,Hip,623.0,WD ,552000,0,,1.0,2492.0,8,AllPub,226,2004,2005,2009
138,1528,1862,0,0.0,0.0,NA,5,1Fam,TA,Gd,0.0,0.0,Ex,1528.0,0.0,0.0,Unf,Unf,,Norm,Norm,SBrkr,0,TA,Ex,CemntBd,CmentBd,NA,Ex,1,PConc,3,Typ,758.0,3.0,TA,Fin,TA,BuiltIn,2006.0,3390,1,1.0,GasA,Ex,2Story,2331,1,Ex,HLS,Gtl,18062,CulDSac,60.0,IR1,0,662.0,BrkFace,NA,0,9,60,RL,StoneBr,34,5,10,Y,527210040,0,NA,CompShg,Hip,138.0,New,545224,0,,1.0,1528.0,10,AllPub,204,2006,2006,2006
823,1690,1589,0,7.0,7.0,NA,4,1Fam,TA,Gd,1.0,0.0,Gd,234.0,1416.0,0.0,ALQ,Unf,,Norm,Norm,SBrkr,0,TA,Ex,CemntBd,Wd Shng,NA,Gd,1,PConc,3,Mod,841.0,3.0,TA,Fin,TA,BuiltIn,2003.0,3279,1,1.0,GasA,Ex,2Story,16,1,Ex,HLS,Mod,53504,CulDSac,47.0,IR2,0,603.0,BrkFace,NA,0,6,60,RL,StoneBr,36,5,8,Y,527216070,0,NA,CompShg,Hip,823.0,WD ,538000,210,,1.0,1650.0,12,AllPub,503,2003,2003,2010
1592,1850,848,0,0.0,0.0,NA,4,1Fam,TA,No,1.0,0.0,Ex,644.0,1206.0,0.0,GLQ,Unf,,Norm,Norm,SBrkr,0,TA,Ex,VinylSd,VinylSd,NA,Gd,1,PConc,2,Typ,736.0,3.0,TA,RFn,TA,Attchd,2006.0,2698,1,1.0,GasA,Ex,2Story,2335,1,Ex,Lvl,Gtl,16052,CulDSac,82.0,IR1,0,734.0,Stone,NA,0,7,60,RL,StoneBr,0,5,10,Y,527214060,0,NA,CompShg,Hip,1592.0,New,535000,0,,1.0,1850.0,11,AllPub,250,2006,2006,2006
81,2234,0,0,1.0,0.0,NA,1,1Fam,TA,No,1.0,0.0,Ex,312.0,1904.0,0.0,GLQ,Unf,,Norm,Norm,SBrkr,0,TA,Ex,VinylSd,VinylSd,NA,Gd,1,PConc,2,Typ,1166.0,3.0,TA,Fin,TA,Attchd,2009.0,2234,0,1.0,GasA,Ex,1Story,367,1,Ex,Lvl,Gtl,17423,CulDSac,63.0,IR1,0,748.0,Stone,NA,0,7,20,RL,StoneBr,60,5,9,Y,527214050,0,NA,CompShg,Hip,81.0,New,501837,0,,1.0,2216.0,9,AllPub,0,2008,2009,2009
800,2290,0,0,0.0,0.0,NA,2,1Fam,TA,Av,2.0,0.0,Ex,636.0,1684.0,0.0,GLQ,Unf,,Norm,Norm,SBrkr,0,TA,Ex,CemntBd,CmentBd,NA,Gd,1,PConc,2,Typ,1174.0,3.0,TA,Fin,TA,Attchd,2007.0,2290,1,1.0,GasA,Ex,1Story,1702,1,Ex,Lvl,Gtl,17169,CulDSac,59.0,IR2,0,970.0,BrkFace,NA,0,8,20,RL,NridgHt,30,5,10,Y,528118050,0,NA,CompShg,Hip,800.0,New,500067,0,,1.0,2320.0,7,AllPub,192,2007,2007,2007
328,3228,0,0,15.0,14.0,NA,4,1Fam,TA,No,1.0,0.0,Gd,1969.0,1231.0,0.0,GLQ,Unf,,Norm,Norm,SBrkr,291,TA,Gd,BrkFace,BrkFace,NA,Gd,1,PConc,3,Typ,546.0,2.0,TA,RFn,TA,Attchd,1992.0,3228,0,1.0,GasA,Ex,1Story,1773,1,Gd,Lvl,Gtl,12692,Inside,0.0,IR1,0,0.0,None,NA,0,5,20,RL,NoRidge,75,5,8,Y,528366050,0,NA,CompShg,Hip,328.0,WD ,430000,0,,1.0,3200.0,10,AllPub,264,1992,1993,2007
960,4692,950,0,0.0,0.0,NA,3,1Fam,TA,Gd,2.0,0.0,Ex,466.0,5644.0,0.0,GLQ,Unf,,Feedr,Norm,SBrkr,0,TA,Ex,Stucco,Stucco,NA,Gd,3,PConc,2,Typ,1418.0,2.0,TA,Fin,TA,Attchd,2008.0,5642,1,1.0,GasA,Ex,2Story,1499,1,Ex,Bnk,Gtl,63887,Corner,313.0,IR3,0,796.0,Stone,NA,0,1,60,RL,Edwards,292,5,10,Y,908154235,480,Gd,ClyTile,Hip,960.0,New,160000,0,,1.0,6110.0,12,AllPub,214,2008,2008,2008
1885,5095,0,0,-1.0,-2.0,NA,2,1Fam,TA,Gd,1.0,1.0,Ex,1085.0,4010.0,0.0,GLQ,Unf,,Norm,Norm,SBrkr,0,TA,Ex,CemntBd,CmentBd,NA,Gd,2,PConc,2,Typ,1154.0,3.0,TA,Fin,TA,Attchd,2008.0,5095,1,1.0,GasA,Ex,1Story,2181,1,Ex,Bnk,Gtl,39290,Inside,128.0,IR1,0,1224.0,Stone,Elev,17000,10,20,RL,Edwards,484,5,10,Y,908154195,0,NA,CompShg,Hip,1885.0,New,183850,0,,1.0,5095.0,15,AllPub,546,2008,2009,2007
471,1444,700,0,49.0,1.0,NA,4,1Fam,TA,Gd,0.0,1.0,Gd,747.0,697.0,0.0,Rec,Unf,,Norm,Norm,SBrkr,0,TA,Gd,Wd Sdng,HdBoard,NA,TA,2,CBlock,2,Typ,389.0,2.0,TA,Fin,TA,Attchd,1958.0,2144,0,1.0,GasA,Gd,1.5Fin,2116,1,Gd,Low,Sev,159000,CulDSac,0.0,IR2,0,472.0,BrkCmn,Shed,500,6,50,RL,ClearCr,98,7,6,Y,906426060,0,NA,CompShg,Gable,471.0,WD ,277000,0,,1.0,1444.0,7,AllPub,0,1958,2006,2007
694,1824,0,0,36.0,5.0,NA,2,1Fam,TA,Gd,1.0,0.0,Gd,424.0,1219.0,0.0,GLQ,Unf,,Norm,Norm,SBrkr,0,TA,TA,Plywood,Plywood,NA,TA,2,CBlock,2,Typ,739.0,2.0,TA,Unf,TA,Attchd,1971.0,1824,0,1.0,GasA,TA,1Story,2072,1,Gd,Low,Sev,115149,CulDSac,0.0,IR2,0,351.0,Stone,NA,0,6,20,RL,ClearCr,48,5,7,Y,905301050,0,NA,CompShg,Gable,694.0,WD ,302000,0,,1.0,1643.0,5,AllPub,380,1971,2002,2007
1854,1533,0,0,31.0,31.0,NA,2,1Fam,TA,Gd,1.0,0.0,Gd,878.0,655.0,0.0,ALQ,Unf,,Norm,Norm,SBrkr,0,TA,TA,Plywood,Plywood,NA,TA,2,CBlock,2,Typ,576.0,2.0,TA,Unf,TA,Attchd,1975.0,1533,0,1.0,GasA,TA,1Story,2767,1,Gd,Low,Mod,70761,Inside,62.0,IR1,0,0.0,None,NA,0,12,20,RL,ClearCr,54,5,7,Y,906475200,0,NA,WdShngl,Gable,1854.0,WD ,280000,0,,1.0,1533.0,5,AllPub,200,1975,1975,2006
858,1440,1440,0,93.0,12.0,Pave,8,2fmCon,Fa,No,0.0,0.0,TA,1184.0,256.0,0.0,LwQ,Unf,,Feedr,Norm,FuseA,0,TA,Fa,VinylSd,VinylSd,NA,NA,0,CBlock,2,Typ,0.0,0.0,NA,NA,NA,NA,,3395,0,1.0,GasA,Ex,2.5Fin,2195,2,Fa,Bnk,Gtl,10896,Inside,60.0,Reg,515,0.0,None,NA,0,3,190,RH,SWISU,110,7,6,N,909176080,0,NA,CompShg,Hip,858.0,WD ,200000,0,,1.0,1440.0,14,AllPub,0,1914,1995,2007
616,3820,0,0,49.0,12.0,NA,5,1Fam,NA,NA,0.0,0.0,NA,0.0,0.0,0.0,NA,NA,,Norm,Norm,SBrkr,0,TA,TA,Plywood,Plywood,NA,Gd,2,Slab,3,Typ,624.0,2.0,TA,Unf,TA,Attchd,1959.0,3820,1,1.0,GasA,TA,1Story,1498,1,Ex,Lvl,Gtl,47007,Inside,123.0,IR1,0,0.0,None,NA,0,7,20,RL,Edwards,372,7,5,Y,908154080,0,NA,CompShg,Gable,616.0,WD ,284700,0,,1.0,0.0,11,AllPub,0,1959,1996,2008
1035,1518,1518,0,114.0,13.0,NA,4,1Fam,TA,Mn,0.0,0.0,TA,1107.0,0.0,0.0,Unf,Unf,,Artery,Norm,SBrkr,0,Gd,Gd,Wd Sdng,Wd Sdng,GdPrv,TA,2,BrkTil,2,Typ,840.0,3.0,TA,Unf,Ex,Detchd,1993.0,3608,1,1.0,GasA,Ex,2.5Fin,2667,1,Ex,Lvl,Gtl,22950,Inside,90.0,IR2,572,0.0,None,NA,0,6,75,RM,OldTown,260,9,10,Y,902400110,0,NA,WdShngl,Gable,1035.0,WD ,475000,410,,1.0,1107.0,12,AllPub,0,1892,1993,2006
1897,1836,1836,0,71.0,16.0,NA,5,1Fam,TA,No,0.0,0.0,TA,1411.0,425.0,0.0,Rec,Unf,,Norm,Norm,SBrkr,32,TA,TA,BrkFace,Wd Sdng,NA,Gd,2,BrkTil,3,Typ,836.0,2.0,TA,Unf,TA,Detchd,1993.0,3672,1,1.0,GasA,Gd,2.5Unf,2738,1,Gd,Lvl,Gtl,19800,Inside,60.0,Reg,0,0.0,None,NA,0,12,75,RL,Edwards,80,8,6,Y,905427030,0,NA,CompShg,Gable,1897.0,WD ,415000,0,,1.0,1836.0,7,AllPub,684,1935,1990,2006
